code,mcap
002283,97.2
002284,72.73
002285,46.43
002286,31.04
002287,117.0
002289,106.52
002290,153.8
002291,48.63
002292,119.33
002293,96.64
002294,358.75
002295,24.69
002296,35.18
002297,104.36
002298,59.65
002299,207.29
002300,49.34
002301,55.6
002302,60.97
002303,79.17
002304,589.47
002307,50.29
002309,92.03
002310,141.58
002311,765.95
002312,163.29
002313,31.6
002314,60.11
002315,104.88
002316,17.89
002317,219.71
002318,194.07
002319,22.5
002320,152.33
002321,45.86
002322,45.33
002324,107.34
002326,176.61
002327,53.03
002328,59.66
002329,33.21
002330,26.94
002331,29.86
002332,86.26
002333,38.47
002334,55.11
002335,231.0
002337,27.9
002338,102.34
002339,37.55
002340,340.33
002342,74.3
002343,24.54
002344,51.95
002345,92.41
002346,91.19
002347,30.99
002348,111.33
002349,65.58
002350,79.13
002351,89.44
002352,1772.83
002353,1340.43
002354,129.88
002355,32.89
002356,37.5
002357,34.83
002358,51.23
002361,100.05
002362,38.79
002363,28.21
002364,209.14
002365,45.35
002366,130.89
002367,43.8
002368,87.81
002369,35.66
002370,41.38
002371,5061.75
002372,137.07
002373,120.57
002374,34.08
002375,49.58
002376,54.71
002377,25.75
002378,309.85
002379,2410.76
002380,66.79
002381,23.05
002382,60.96
002383,52.34
002384,3582.99
002385,145.1
002386,78.36
002387,102.25
002388,32.92
002389,177.97
002390,61.62
002391,35.34
002392,94.64
002393,44.12
002394,33.37
002395,33.45
002396,277.9
002397,27.52
002398,29.11
002399,153.33
002400,112.79
002401,45.86
002402,176.0
002403,31.48
002404,32.71
002405,151.45
002406,49.44
002407,439.75
002408,159.81
002409,676.1
002410,148.67
002412,66.07
002413,105.02
002414,548.79
002415,3216.87
002416,117.73
002418,55.68
002419,53.64
002420,24.92
002421,69.13
002422,664.15
002423,227.88
002425,30.42
002426,92.55
002427,51.14
002428,650.9
002429,370.3
002430,255.45
002432,316.26
002434,75.61
002436,608.14
002437,108.37
002438,69.79
002439,165.6
002440,156.12
002441,44.98
002442,26.43
002443,51.85
002444,363.24
002445,80.57
002446,76.25
002448,71.67
002449,41.01
002451,34.15
002452,71.34
002453,37.04
002454,45.1
002455,57.29
002456,266.04
002457,37.05
002458,129.81
002459,241.61
002460,1153.18
002461,192.78
002462,36.0
002463,2341.95
002465,250.67
002466,858.27
002467,64.37
002468,215.08
002469,43.02
002470,70.98
002471,73.5
002472,303.45
002474,39.45
002475,4379.61
002476,31.33
002478,61.52
002479,51.47
002480,41.84
002481,53.54
002482,50.26
002483,47.78
002484,517.12
002486,24.32
002487,264.65
002488,81.23
002489,61.38
002490,69.34
002491,273.43
002492,23.45
002493,1453.46
002494,18.26
002495,22.92
002496,33.47
002497,222.44
002498,214.91
002500,196.0
002506,163.22
002507,129.82
002508,151.77
002510,57.36
002511,91.47
002513,20.43
002515,101.09
002516,80.01
002517,354.65
002518,206.52
002519,62.07
002520,47.04
002521,37.75
002522,47.83
002523,49.87
002524,20.82
002526,48.67
002527,73.4
002529,18.28
002530,57.43
002531,110.69
002532,609.6
002533,82.35
002534,125.56
002535,20.84
002536,306.53
002537,73.38
002539,166.91
002540,64.5
002541,139.52
002543,53.91
002544,110.25
002545,225.8
002546,66.31
002548,35.94
002549,99.85
002550,86.26
002551,28.58
002552,206.37
002553,54.57
002554,39.88
002555,404.18
002556,50.49
002557,95.0
002558,518.47
002559,58.47
002560,45.07
002561,29.1
002562,57.26
002563,161.11
002564,38.82
002565,90.1
002566,23.63
002567,55.32
002568,184.47
002570,49.68
002571,41.86
002572,77.81
002573,47.41
002574,27.72
002575,32.74
002576,23.92
002577,52.77
002578,40.64
002579,88.09
002580,95.68
002582,47.95
002583,153.49
002584,49.1
002585,112.65
002587,36.26
002588,93.99
002589,49.81
002590,50.71
002591,19.48
002593,36.58
002594,8417.0
002595,549.96
002596,38.44
002597,118.55
002599,32.17
002600,1012.6
002601,395.79
002602,1029.68
002603,270.32
002605,71.69
002606,57.17
002607,129.52
002608,268.24
002609,50.0
002611,181.38
002612,66.41
002613,38.63
002614,36.55
002615,37.12
002616,42.45
002617,118.37
002622,22.09
002623,31.2
002624,211.26
002625,611.9
002626,103.45
002627,51.09
002628,41.49
002629,20.84
002631,80.53
002632,52.9
002633,21.96
002635,101.72
002636,532.75
002637,58.24
002638,66.95
002639,93.06
002640,53.13
002641,49.41
002642,47.7
002643,121.45
002644,45.14
002645,144.22
002646,33.15
002647,134.17
002648,956.02
002649,58.08
002651,88.36
002652,21.1
002653,766.45
002654,115.55
002655,139.35
002656,20.81
002657,55.31
002658,48.0
002659,27.4
002660,27.17
002661,25.97
002662,50.4
002663,30.5
002664,62.74
002666,33.57
002668,101.36
002669,36.59
